,0,1,2,3,4,5,6,7
353,Tom Cooper,c sub (DJ Hooda) b Ashwin,9,12,12,0,0,75.00
354,Scott Edwards (c)†,c sub (DJ Hooda) b Kumar,5,8,21,0,0,62.50
355,Tim Pringle,c Kohli b Mohammed Shami,20,15,14,1,1,133.33
356,Logan van Beek,c †Karthik b Arshdeep Singh,3,5,11,0,0,60.00
357,Shariz Ahmad,not out,16,11,18,2,0,145.45
358,Fred Klaassen,lbw b Arshdeep Singh,0,1,3,0,0,0.00
359,Paul van Meekeren,not out,14,6,9,3,0,233.33
360,Wessly Madhevere,lbw b Mohammad Wasim,17,13,30,3,0,130.76
361,Craig Ervine (c),c Mohammad Wasim b Haris Rauf,19,19,26,2,0,100.00
362,Milton Shumba,c & b Shadab Khan,8,10,22,1,0,80.00
363,Sean Williams,b Shadab Khan,31,28,37,3,0,110.71
364,Sikandar Raza,c Haris Rauf b Mohammad Wasim,9,16,22,1,0,56.25
365,Regis Chakabva †,c Babar Azam b Shadab Khan,0,1,2,0,0,0.00
366,Ryan Burl,not out,10,15,30,0,0,66.66
367,Luke Jongwe,b Mohammad Wasim,0,1,2,0,0,0.00
368,Brad Evans,b Mohammad Wasim,19,15,24,0,1,126.66
369,Richard Ngarava,not out,3,2,3,0,0,150.00
370,Mohammad Rizwan †,b Muzarabani,14,16,23,1,1,87.50
371,Babar Azam (c),c Burl b Evans,4,9,17,1,0,44.44
372,Shan Masood,st †Chakabva b Sikandar Raza,44,38,61,3,0,115.78
373,Iftikhar Ahmed,c †Chakabva b Jongwe,5,10,16,1,0,50.00
374,Shadab Khan,c Williams b Sikandar Raza,17,14,27,0,1,121.42
375,Haider Ali,lbw b Sikandar Raza,0,1,3,0,0,0.00
376,Mohammad Nawaz,c Ervine b Evans,22,18,36,1,1,122.22
377,Mohammad Wasim,not out,12,13,29,2,0,92.30
378,Shaheen Shah Afridi,run out (Sikandar Raza/†Chakabva),1,1,3,0,0,100.00
379,Finn Allen,b Theekshana,1,3,3,0,0,33.33
380,Devon Conway †,b DM de Silva,1,4,14,0,0,25.00
381,Kane Williamson (c),c †Mendis b Rajitha,8,13,18,1,0,61.53
382,Glenn Phillips,c Shanaka b Kumara,104,64,87,10,4,162.50
383,Daryl Mitchell,b PWH de Silva,22,24,52,0,0,91.66
384,James Neesham,c Shanaka b Rajitha,5,8,15,0,0,62.50
385,Mitchell Santner,not out,11,5,17,0,1,220.00
386,Ish Sodhi,run out (sub [KNA Bandara]/†Mendis),1,1,3,0,0,100.00
387,Tim Southee,not out,4,1,1,1,0,400.00
388,Pathum Nissanka,lbw b Southee,0,5,5,0,0,0.00
389,Kusal Mendis †,c †Conway b Boult,4,3,9,1,0,133.33
390,Dhananjaya de Silva,b Boult,0,3,8,0,0,0.00
391,Charith Asalanka,c Allen b Boult,4,8,11,0,0,50.00
392,Bhanuka Rajapaksa,c Williamson b Ferguson,34,22,38,3,2,154.54
393,Chamika Karunaratne,c Boult b Santner,3,8,13,0,0,37.50
394,Dasun Shanaka (c),c Mitchell b Boult,35,32,49,4,1,109.37
395,Wanindu Hasaranga de Silva,c Williamson b Sodhi,4,6,6,1,0,66.66
396,Maheesh Theekshana,c Neesham b Santner,0,3,5,0,0,0.00
397,Kasun Rajitha,not out,8,21,30,0,0,38.09
398,Lahiru Kumara,st †Conway b Sodhi,4,5,10,1,0,80.00
399,Najmul Hossain Shanto,c Ervine b Sikandar Raza,71,55,77,7,1,129.09
400,Soumya Sarkar,c †Chakabva b Muzarabani,0,2,9,0,0,0.00
401,Litton Das,c Chatara b Muzarabani,14,12,22,3,0,116.66
402,Shakib Al Hasan (c),c Muzarabani b Williams,23,20,32,1,0,115.00
403,Afif Hossain,lbw b Ngarava,29,19,40,1,1,152.63
404,Mosaddek Hossain,c Chatara b Ngarava,7,10,18,0,0,70.00
405,Nurul Hasan †,run out (Williams/†Chakabva),1,1,5,0,0,100.00
406,Yasir Ali,not out,1,1,3,0,0,100.00
407,Wessly Madhevere,c Mustafizur Rahman b Taskin Ahmed,4,3,1,1,0,133.33
408,Craig Ervine (c),c †Nurul Hasan b Taskin Ahmed,8,7,16,2,0,114.28
409,Milton Shumba,c Shakib Al Hasan b Mustafizur Rahman,8,15,24,1,0,53.33
410,Sean Williams,run out (Shakib Al Hasan),64,42,75,8,0,152.38
411,Sikandar Raza,c Afif Hossain b Mustafizur Rahman,0,3,4,0,0,0.00
412,Regis Chakabva †,c †Nurul Hasan b Taskin Ahmed,15,19,24,0,0,78.94
413,Ryan Burl,not out,27,25,50,2,1,108.00
414,Brad Evans,c Afif Hossain b Mosaddek Hossain,2,2,5,0,0,100.00
415,Richard Ngarava,st †Nurul Hasan b Mosaddek Hossain,6,3,6,0,1,200.00
416,Blessing Muzarabani,not out,0,2,6,0,0,0.00
417,Stephan Myburgh,c Mohammad Wasim b Shaheen Shah Afridi,6,11,13,1,0,54.54
418,Max O'Dowd,lbw b Shadab Khan,8,13,41,0,0,61.53
419,Bas de Leede,retired hurt,6,16,15,1,0,37.50
420,Tom Cooper,c Mohammad Wasim b Shadab Khan,1,2,4,0,0,50.00
421,Colin Ackermann,lbw b Shadab Khan,27,27,40,2,0,100.00
422,Scott Edwards (c)†,c Iftikhar Ahmed b Naseem Shah,15,20,38,1,0,75.00
423,Roelof van der Merwe,b Haris Rauf,5,6,12,0,0,83.33
424,Tim Pringle,b Mohammad Wasim,5,8,15,0,0,62.50
425,Logan van Beek,not out,6,9,18,0,0,66.66
426,Fred Klaassen,b Mohammad Wasim,0,1,1,0,0,0.00
427,Paul van Meekeren,run out (Shadab Khan/†Mohammad Rizwan),7,7,8,0,0,100.00
428,Mohammad Rizwan †,c †Edwards b van Meekeren,49,39,66,5,0,125.64
429,Babar Azam (c),run out (van der Merwe),4,5,10,1,0,80.00
430,Fakhar Zaman,c †Edwards b Glover,20,16,27,3,0,125.00
431,Shan Masood,c van Meekeren b Glover,12,16,35,0,0,75.00
432,Iftikhar Ahmed,not out,6,5,10,0,0,120.00
433,Shadab Khan,not out,4,2,2,1,0,200.00
434,KL Rahul,c Markram b Ngidi,9,14,25,0,1,64.28
435,Rohit Sharma (c),c & b Ngidi,15,14,22,1,1,107.14
436,Virat Kohli,c Rabada b Ngidi,12,11,13,2,0,109.09
437,Suryakumar Yadav,c Maharaj b Parnell,68,40,68,6,3,170.00
438,Deepak Hooda,c †de Kock b Nortje,0,3,4,0,0,0.00
439,Hardik Pandya,c Rabada b Ngidi,2,3,6,0,0,66.66
440,Dinesh Karthik †,c Rossouw b Parnell,6,15,33,0,0,40.00
441,Ravichandran Ashwin,c Rabada b Parnell,7,11,15,0,0,63.63
442,Bhuvneshwar Kumar,not out,4,6,9,0,0,66.66
443,Mohammed Shami,run out (Nortje),0,2,5,0,0,0.00
444,Arshdeep Singh,not out,2,1,2,0,0,200.00
445,Quinton de Kock †,c Rahul b Arshdeep Singh,1,3,7,0,0,33.33
446,Temba Bavuma (c),c †Karthik b Mohammed Shami,10,15,30,0,1,66.66
447,Rilee Rossouw,lbw b Arshdeep Singh,0,2,4,0,0,0.00
448,Aiden Markram,c Yadav b Pandya,52,41,72,6,1,126.82
449,David Miller,not out,59,46,78,4,3,128.26
450,Tristan Stubbs,lbw b Ashwin,6,6,15,1,0,100.00
451,Wayne Parnell,not out,2,5,11,0,0,40.00
452,David Warner,c Adair b McCarthy,3,7,13,0,0,42.85
453,Aaron Finch (c),c Adair b McCarthy,63,44,87,5,3,143.18
454,Mitchell Marsh,c †Tucker b McCarthy,28,22,28,2,2,127.27
455,Glenn Maxwell,c †Tucker b Little,13,9,18,0,1,144.44
456,Marcus Stoinis,c Dockrell b Little,35,25,41,3,1,140.00
457,Tim David,not out,15,10,15,2,0,150.00
458,Matthew Wade †,not out,7,3,7,1,0,233.33
459,Paul Stirling,c Cummins b Maxwell,11,7,11,1,1,157.14
460,Andy Balbirnie (c),b Cummins,6,7,11,0,1,85.71
461,Lorcan Tucker †,not out,71,48,81,9,1,147.91
462,Harry Tector,c sub (SPD Smith) b Maxwell,6,4,3,1,0,150.00
463,Curtis Campher,b Starc,0,1,5,0,0,0.00
464,George Dockrell,b Starc,0,4,4,0,0,0.00
465,Gareth Delany,c Maxwell b Stoinis,14,10,27,2,0,140.00
466,Mark Adair,st †Wade b Zampa,11,11,13,1,0,100.00
467,Fionn Hand,b Zampa,6,6,10,1,0,100.00
468,Barry McCarthy,c sub (SPD Smith) b Cummins,3,7,16,0,0,42.85
469,Josh Little,run out (Marsh/Maxwell),1,5,6,0,0,20.00
470,Rahmanullah Gurbaz †,b Kumara,28,24,33,2,2,116.66
471,Usman Ghani,c Shanaka b PWH de Silva,27,27,54,2,1,100.00
472,Ibrahim Zadran,c Rajapaksa b Kumara,22,18,35,1,1,122.22
473,Najibullah Zadran,c PWH de Silva b DM de Silva,18,16,29,1,0,112.50
474,Gulbadin Naib,run out (Nissanka/†Mendis),12,14,25,0,0,85.71
475,Mohammad Nabi (c),c Shanaka b Rajitha,13,8,15,1,0,162.50
476,Rashid Khan,b PWH de Silva,9,8,10,1,0,112.50
477,Azmatullah Omarzai,not out,3,4,3,0,0,75.00
478,Mujeeb Ur Rahman,st †Mendis b PWH de Silva,1,2,1,0,0,50.00
479,Pathum Nissanka,b Mujeeb Ur Rahman,10,10,10,2,0,100.00
480,Kusal Mendis †,c †Rahmanullah Gurbaz b Rashid Khan,25,27,33,2,1,92.59
481,Dhananjaya de Silva,not out,66,42,78,6,2,157.14
482,Charith Asalanka,c Azmatullah Omarzai b Rashid Khan,19,18,27,1,0,105.55
483,Bhanuka Rajapaksa,c †Rahmanullah Gurbaz b Mujeeb Ur Rahman,18,14,24,3,0,128.57
484,Dasun Shanaka (c),not out,0,0,4,0,0,-
485,Jos Buttler (c)†,run out (Williamson/Southee),73,47,82,7,2,155.31
486,Alex Hales,st †Conway b Santner,52,40,46,7,1,130.00
487,Moeen Ali,c Boult b Sodhi,5,6,13,0,0,83.33
488,Liam Livingstone,b Ferguson,20,14,20,1,1,142.85
489,Harry Brook,c Allen b Southee,7,3,6,0,1,233.33
490,Ben Stokes,lbw b Ferguson,8,7,11,0,0,114.28
491,Sam Curran,not out,6,3,7,0,1,200.00
492,Dawid Malan,not out,3,1,1,0,0,300.00
493,Finn Allen,c Stokes b Curran,16,11,25,0,1,145.45
494,Devon Conway †,c †Buttler b Woakes,3,9,12,0,0,33.33
495,Kane Williamson (c),c Rashid b Stokes,40,40,57,3,0,100.00
496,Glenn Phillips,c sub (CJ Jordan) b Curran,62,36,64,4,3,172.22
497,James Neesham,c Curran b Wood,6,3,7,1,0,200.00
498,Daryl Mitchell,c sub (CJ Jordan) b Woakes,3,5,10,0,0,60.00
499,Mitchell Santner,not out,16,10,19,0,1,160.00
500,Ish Sodhi,not out,6,6,4,0,0,100.00
501,Wessly Madhevere,b van Meekeren,1,5,9,0,0,20.00
502,Craig Ervine (c),c †Edwards b Glover,3,12,18,0,0,25.00
503,Regis Chakabva †,lbw b Glover,5,16,18,1,0,31.25
504,Sean Williams,c O'Dowd b van Meekeren,28,23,39,3,0,121.73
505,Sikandar Raza,c Klaassen b de Leede,40,24,46,3,3,166.66
506,Milton Shumba,c Myburgh b van Beek,2,3,6,0,0,66.66
507,Ryan Burl,b van Meekeren,2,7,19,0,0,28.57
508,Luke Jongwe,c van Beek b de Leede,6,8,12,0,0,75.00
509,Richard Ngarava,c Myburgh b Klaassen,9,7,12,0,1,128.57
510,Tendai Chatara,not out,6,7,15,0,0,85.71
511,Blessing Muzarabani,c Glover b van Beek,1,4,9,0,0,25.00
512,Stephan Myburgh,c Burl b Muzarabani,8,7,15,0,1,114.28
513,Max O'Dowd,c Shumba b Muzarabani,52,47,70,8,1,110.63
514,Tom Cooper,c Madhevere b Jongwe,32,29,42,2,1,110.34
515,Colin Ackermann,c Jongwe b Ngarava,1,5,6,0,0,20.00
516,Bas de Leede,not out,12,12,21,2,0,100.00
517,Scott Edwards (c)†,c †Chakabva b Ngarava,5,6,8,1,0,83.33
518,Roelof van der Merwe,not out,0,3,6,0,0,0.00
519,KL Rahul,c Mustafizur Rahman b Shakib Al Hasan,50,32,49,3,4,156.25
520,Rohit Sharma (c),c Yasir Ali b Hasan Mahmud,2,8,18,0,0,25.00
521,Virat Kohli,not out,64,44,84,8,1,145.45
522,Suryakumar Yadav,b Shakib Al Hasan,30,16,18,4,0,187.50
523,Hardik Pandya,c Yasir Ali b Hasan Mahmud,5,6,8,0,0,83.33
524,Dinesh Karthik †,run out (Shakib Al Hasan/Shoriful Islam),7,5,12,1,0,140.00
525,Axar Patel,c Shakib Al Hasan b Hasan Mahmud,7,6,6,1,0,116.66
526,Ravichandran Ashwin,not out,13,6,9,1,1,216.66
527,Najmul Hossain Shanto,c Yadav b Mohammed Shami,21,25,50,1,1,84.00
528,Litton Das,run out (Rahul),60,27,40,7,3,222.22
529,Shakib Al Hasan (c),c sub (DJ Hooda) b Arshdeep Singh,13,12,24,2,0,108.33
530,Afif Hossain,c Yadav b Arshdeep Singh,3,5,12,0,0,60.00
531,Yasir Ali,c Arshdeep Singh b Pandya,1,3,8,0,0,33.33
532,Nurul Hasan †,not out,25,14,29,2,1,178.57
533,Mosaddek Hossain,b Pandya,6,3,4,0,1,200.00
534,Taskin Ahmed,not out,12,7,22,1,1,171.42
535,Mohammad Rizwan †,b Parnell,4,4,4,1,0,100.00
536,Babar Azam (c),c Rabada b Ngidi,6,15,29,0,0,40.00
537,Mohammad Haris,lbw b Nortje,28,11,19,2,3,254.54
538,Shan Masood,c Bavuma b Nortje,2,6,11,0,0,33.33
539,Iftikhar Ahmed,c Rossouw b Rabada,51,35,73,3,2,145.71
540,Mohammad Nawaz,lbw b Shamsi,28,22,32,4,1,127.27
541,Shadab Khan,c Stubbs b Nortje,52,22,31,3,4,236.36
542,Mohammad Wasim,c Bavuma b Nortje,0,1,1,0,0,0.00
543,Naseem Shah,not out,5,3,3,0,0,166.66
544,Haris Rauf,run out (Klaasen/Bavuma),3,2,2,0,0,150.00
545,Temba Bavuma (c),c †Mohammad Rizwan b Shadab Khan,36,19,39,4,1,189.47
546,Quinton de Kock †,c Mohammad Haris b Shaheen Shah Afridi,0,5,6,0,0,0.00
547,Rilee Rossouw,c Naseem Shah b Shaheen Shah Afridi,7,6,10,0,1,116.66
548,Aiden Markram,b Shadab Khan,20,14,28,4,0,142.85
549,Heinrich Klaasen,c Mohammad Wasim b Shaheen Shah Afridi,15,9,18,3,0,166.66
550,Tristan Stubbs,c Mohammad Nawaz b Naseem Shah,18,18,28,0,1,100.00
551,Wayne Parnell,lbw b Mohammad Wasim,3,4,9,0,0,75.00
552,Kagiso Rabada,run out (Mohammad Nawaz/Haris Rauf),1,2,11,0,0,50.00
553,Anrich Nortje,c Mohammad Haris b Haris Rauf,1,5,8,0,0,20.00
554,Lungi Ngidi,not out,4,1,5,1,0,400.00
555,Tabraiz Shamsi,not out,1,1,3,0,0,100.00
556,Finn Allen,c Hand b Adair,32,18,30,5,1,177.77
557,Devon Conway †,c Adair b Delany,28,33,55,2,0,84.84
558,Kane Williamson (c),c Delany b Little,61,35,59,5,3,174.28
559,Glenn Phillips,c Dockrell b Delany,17,9,9,2,1,188.88
560,Daryl Mitchell,not out,31,21,35,2,0,147.61
561,James Neesham,lbw b Little,0,1,3,0,0,0.00
562,Mitchell Santner,lbw b Little,0,1,2,0,0,0.00
563,Tim Southee,not out,1,2,7,0,0,50.00
564,Paul Stirling,b Sodhi,37,27,39,3,1,137.03
565,Andy Balbirnie (c),b Santner,30,25,36,0,3,120.00
566,Lorcan Tucker †,c Allen b Sodhi,13,14,30,0,0,92.85
567,Harry Tector,c Southee b Santner,2,7,4,0,0,28.57
568,Gareth Delany,c †Conway b Ferguson,10,8,12,2,0,125.00
569,George Dockrell,c Williamson b Ferguson,23,15,24,3,0,153.33
570,Curtis Campher,c Allen b Southee,7,7,10,1,0,100.00
571,Fionn Hand,c & b Ferguson,5,3,7,1,0,166.66
572,Mark Adair,c Phillips b Southee,4,5,9,0,0,80.00
573,Barry McCarthy,not out,6,5,10,0,0,120.00
574,Josh Little,not out,8,4,3,0,1,200.00
575,David Warner,b Naveen-ul-Haq,25,18,28,5,0,138.88
576,Cameron Green,c Gulbadin Naib b Fazalhaq Farooqi,3,2,12,0,0,150.00
577,Mitchell Marsh,c †Rahmanullah Gurbaz b Mujeeb Ur Rahman,45,30,42,3,2,150.00
578,Steven Smith,lbw b Naveen-ul-Haq,4,4,6,1,0,100.00
579,Marcus Stoinis,c Usman Ghani b Rashid Khan,25,21,41,0,2,119.04
580,Glenn Maxwell,not out,54,32,46,6,2,168.75
581,Matthew Wade (c)†,b Fazalhaq Farooqi,6,8,14,1,0,75.00
582,Pat Cummins,c Rashid Khan b Naveen-ul-Haq,0,2,4,0,0,0.00
583,Kane Richardson,run out (Naveen-ul-Haq),1,1,6,0,0,100.00
584,Adam Zampa,not out,1,1,5,0,0,100.00
585,Rahmanullah Gurbaz †,c Warner b Richardson,30,17,31,2,2,176.47
586,Usman Ghani,c Cummins b Hazlewood,2,7,16,0,0,28.57
587,Ibrahim Zadran,c Marsh b Zampa,26,33,55,2,0,78.78
588,Gulbadin Naib,run out (Maxwell),39,23,38,3,2,169.56
589,Mohammad Nabi (c),c Warner b Hazlewood,1,2,10,0,0,50.00
590,Najibullah Zadran,c Maxwell b Zampa,0,2,3,0,0,0.00
591,Darwish Rasooli,run out (†Wade/Stoinis),15,13,28,1,0,115.38
592,Rashid Khan,not out,48,23,27,3,4,208.69
593,Naveen-ul-Haq,not out,0,0,4,0,0,-
594,Pathum Nissanka,c sub (CJ Jordan) b Rashid,67,45,70,2,5,148.88
595,Kusal Mendis †,c Livingstone b Woakes,18,14,21,1,1,128.57
596,Dhananjaya de Silva,c Stokes b Curran,9,11,17,0,0,81.81
597,Charith Asalanka,c Malan b Stokes,8,9,15,0,0,88.88
598,Bhanuka Rajapaksa,c Curran b Wood,22,22,41,3,0,100.00
599,Dasun Shanaka (c),c †Buttler b Wood,3,8,12,0,0,37.50
600,Wanindu Hasaranga de Silva,run out (†Buttler/Wood),9,9,13,1,0,100.00
601,Chamika Karunaratne,c Hales b Wood,0,2,3,0,0,0.00
602,Maheesh Theekshana,not out,0,0,2,0,0,-
603,Jos Buttler (c)†,c Karunaratne b PWH de Silva,28,23,35,2,1,121.73
604,Alex Hales,c & b PWH de Silva,47,30,42,7,1,156.66
605,Ben Stokes,not out,42,36,59,2,0,116.66
606,Harry Brook,c & b DM de Silva,4,5,9,0,0,80.00
607,Liam Livingstone,c DM de Silva b Kumara,4,6,10,0,0,66.66
608,Moeen Ali,c Shanaka b DM de Silva,1,5,8,0,0,20.00
609,Sam Curran,c Rajitha b Kumara,6,11,16,0,0,54.54
610,Chris Woakes,not out,5,3,11,1,0,166.66
611,Stephan Myburgh,c Rossouw b Markram,37,30,41,7,0,123.33
612,Max O'Dowd,c Rabada b Maharaj,29,31,61,1,1,93.54
613,Tom Cooper,c †de Kock b Maharaj,35,19,30,2,2,184.21
614,Colin Ackermann,not out,41,26,31,3,2,157.69
615,Bas de Leede,b Nortje,1,7,11,0,0,14.28
616,Scott Edwards (c)†,not out,12,7,11,2,0,171.42
617,Quinton de Kock †,c †Edwards b Klaassen,13,13,12,1,1,100.00
618,Temba Bavuma (c),b van Meekeren,20,20,26,2,0,100.00
619,Rilee Rossouw,c O'Dowd b Glover,25,19,29,2,0,131.57
620,Aiden Markram,c Myburgh b Klaassen,17,13,30,2,0,130.76
621,David Miller,c van der Merwe b Glover,17,17,28,1,0,100.00
622,Heinrich Klaasen,c van Beek b de Leede,21,18,27,0,1,116.66
623,Wayne Parnell,c †Edwards b Glover,0,2,3,0,0,0.00
624,Keshav Maharaj,c O'Dowd b de Leede,13,12,20,0,1,108.33
625,Kagiso Rabada,not out,9,8,13,0,0,112.50
626,Anrich Nortje,not out,4,1,2,1,0,400.00
627,Najmul Hossain Shanto,b Iftikhar Ahmed,54,48,66,7,0,112.50
628,Litton Das,c Shan Masood b Shaheen Shah Afridi,10,8,15,0,1,125.00
629,Soumya Sarkar,c Shan Masood b Shadab Khan,20,17,38,1,1,117.64
630,Shakib Al Hasan (c),lbw b Shadab Khan,0,1,4,0,0,0.00
631,Afif Hossain,not out,24,20,47,3,0,120.00
632,Mosaddek Hossain,b Shaheen Shah Afridi,5,11,17,0,0,45.45
633,Nurul Hasan †,c Mohammad Haris b Shaheen Shah Afridi,0,3,4,0,0,0.00
634,Taskin Ahmed,c Babar Azam b Shaheen Shah Afridi,1,5,8,0,0,20.00
635,Nasum Ahmed,c Mohammad Wasim b Haris Rauf,7,6,9,1,0,116.66
636,Mustafizur Rahman,not out,0,1,1,0,0,0.00
637,Mohammad Rizwan †,c Najmul Hossain Shanto b Ebadot Hossain,32,32,51,2,1,100.00
638,Babar Azam (c),c Mustafizur Rahman b Nasum Ahmed,25,33,46,2,0,75.75
639,Mohammad Nawaz,run out (Litton Das),4,11,27,0,0,36.36
640,Mohammad Haris,c Nasum Ahmed b Shakib Al Hasan,31,18,31,1,2,172.22
641,Shan Masood,not out,24,14,20,2,0,171.42
642,Iftikhar Ahmed,c Najmul Hossain Shanto b Mustafizur Rahman,1,3,8,0,0,33.33
643,Shadab Khan,not out,0,0,2,0,0,-
644,KL Rahul,c Masakadza b Sikandar Raza,51,35,59,3,3,145.71
645,Rohit Sharma (c),c Masakadza b Muzarabani,15,13,20,2,0,115.38
646,Virat Kohli,c Burl b Williams,26,25,36,2,0,104.00
647,Suryakumar Yadav,not out,61,25,44,6,4,244.00
648,Rishabh Pant †,c Burl b Williams,3,5,7,0,0,60.00
649,Hardik Pandya,c Muzarabani b Ngarava,18,18,29,2,0,100.00
650,Axar Patel,not out,0,0,6,0,0,-
651,Wessly Madhevere,c Kohli b Kumar,0,1,1,0,0,0.00
652,Craig Ervine (c),c & b Pandya,13,15,37,2,0,86.66
653,Regis Chakabva †,b Arshdeep Singh,0,6,9,0,0,0.00
654,Sean Williams,c Kumar b Mohammed Shami,11,18,22,0,1,61.11
655,Sikandar Raza,c Yadav b Pandya,34,24,53,3,0,141.66
656,Tony Munyonga,lbw b Mohammed Shami,5,4,6,1,0,125.00
657,Ryan Burl,b Ashwin,35,22,27,5,1,159.09
658,Wellington Masakadza,c Sharma b Ashwin,1,7,8,0,0,14.28
659,Richard Ngarava,b Ashwin,1,2,4,0,0,50.00
660,Tendai Chatara,c & b Patel,4,4,11,1,0,100.00
661,Blessing Muzarabani,not out,0,2,5,0,0,0.00
662,Finn Allen,lbw b Shaheen Shah Afridi,4,3,6,1,0,133.33
663,Devon Conway †,run out (Shadab Khan),21,20,35,3,0,105.00
664,Kane Williamson (c),b Shaheen Shah Afridi,46,42,81,1,1,109.52
665,Glenn Phillips,c & b Mohammad Nawaz,6,8,9,1,0,75.00
666,Daryl Mitchell,not out,53,35,60,3,1,151.42
667,James Neesham,not out,16,12,19,1,0,133.33
668,Mohammad Rizwan †,c Phillips b Boult,57,43,77,5,0,132.55
669,Babar Azam (c),c Mitchell b Boult,53,42,56,7,0,126.19
670,Mohammad Haris,c Allen b Santner,30,26,32,2,1,115.38
671,Shan Masood,not out,3,4,13,0,0,75.00
672,Iftikhar Ahmed,not out,0,0,3,0,0,-
673,KL Rahul,c †Buttler b Woakes,5,5,8,1,0,100.00
674,Rohit Sharma (c),c Curran b Jordan,27,28,37,4,0,96.42
675,Virat Kohli,c Rashid b Jordan,50,40,75,4,1,125.00
676,Suryakumar Yadav,c Salt b Rashid,14,10,14,1,1,140.00
677,Hardik Pandya,hit wicket b Jordan,63,33,47,4,5,190.90
678,Rishabh Pant †,run out (†Buttler/Jordan),6,4,13,1,0,150.00
679,Ravichandran Ashwin,not out,0,0,4,0,0,-
680,Jos Buttler (c)†,not out,80,49,74,9,3,163.26
681,Alex Hales,not out,86,47,74,4,7,182.97
682,Mohammad Rizwan †,b Curran,15,14,24,0,1,107.14
683,Babar Azam (c),c & b Rashid,32,28,58,2,0,114.28
684,Mohammad Haris,c Stokes b Rashid,8,12,15,1,0,66.66
685,Shan Masood,c Livingstone b Curran,38,28,46,2,1,135.71
686,Iftikhar Ahmed,c †Buttler b Stokes,0,6,8,0,0,0.00
687,Shadab Khan,c Woakes b Jordan,20,14,26,2,0,142.85
688,Mohammad Nawaz,c Livingstone b Curran,5,7,11,0,0,71.42
689,Mohammad Wasim,c Livingstone b Jordan,4,8,12,0,0,50.00
690,Shaheen Shah Afridi,not out,5,3,8,1,0,166.66
691,Haris Rauf,not out,1,1,3,0,0,100.00
692,Jos Buttler (c)†,c †Mohammad Rizwan b Haris Rauf,26,17,33,3,1,152.94
693,Alex Hales,b Shaheen Shah Afridi,1,2,6,0,0,50.00
694,Phil Salt,c Iftikhar Ahmed b Haris Rauf,10,9,16,2,0,111.11
695,Ben Stokes,not out,52,49,81,5,1,106.12
696,Harry Brook,c Shaheen Shah Afridi b Shadab Khan,20,23,36,1,0,86.95
697,Moeen Ali,b Mohammad Wasim,19,13,30,3,0,146.15
698,Liam Livingstone,not out,1,1,3,0,0,100.00
